State,County_FIPS,Average_Distance_to_Stations_(miles),Station_Identifiers_(USAF_WBAN),Nearest_Station,Nearest_Station_Distance,County_Name
CA,6019,22.51885229990265,72389093193|72389693144|72389699999|72389723167|72389799999|72389853119|72389899999|74504693242|74504699999|74702023110|99999923110|99999923167|99999993193,999999-93193,4.1485881223666015,Fresno County
HI,15003,14.68706782344688,91117099999|91168199999|91169099999|91170022508|91170099999|91172099999|91176022519|91178022514|91178022551|91178099999|91180099999|91180399999|91181099999|91182022521|91184099999|99400799999|99733499999|99733599999|99819399999|99822299999|99999922508|99999922514|99999922515|99999922517|99999922519,911170-99999,4.813834309440566,Honolulu County
FL,12103,22.543737282943702,72037392824|72037492825|721042486|72201412818|72201499999|72202192816|72202199999|72206499999|72210099999|72210492806|72210499999|72211012842|72211512871|72211599999|72211612873|72211699999|72211799999|72211912883|72211999999|72474299999|74788012810|74788099999|74904999999|99400899999|99400999999|99408299999|99408599999|99487099999|99488099999|99707099999|99721199999|99734599999|99735399999|99735799999|99770199999|99770599999|99779199999|99821299999|99821399999|99822899999|99824199999|99824499999|99826999999|99999912810|99999912842|99999992802,722116-12873,2.468429571810795,Pinellas County
NY,36119,33.037167105414085,72055399999|72409899999|7250154789|72501599999|72502699999|72502899999|72503014732|72503394728|7250354781|72503614757|72503699999|72503794745|72503814714|72503899999|72503999999|7250504781|72505394728|72506094728|72519899999|74485999999|74486094789|74486454787|74486499999|74497599999|74497699999|74910599999|99410099999|99446099999|99493099999|99494099999|99496099999|99497099999|99718699999|99727199999|99727299999|99728099999|99728499999|99728999999|99729099999|99743999999|99999914708|99999914732|99999914757|99999914786|99999914797|99999964756|99999994728|99999994745|99999994789,999999-94745,7.0456519073546175,Westchester County
IN,18097,25.21879845793668,720575173|72057599999|72081599999|72435653866|72435699999|72436013803|72436113803|72436313803|72436399999|72438093819|72438453842|72438499999|7243854828|72438599999|99999993819,999999-93819,8.229975739998885,Marion County
WI,55079,22.22777804088836,7220594866|72205999999|72640014839|72640399999|72640594869|72640599999|72640699999|72640799999|7264094897|72640999999|7264134875|72641399999|72642494818|72642499999|72646454834|72646499999|7265054845|72650599999|7265094898|72650999999|99299099999|99734099999|99734299999|99773699999|99999914839|99999994869,726407-99999,1.230499550060869,Milwaukee County
FL,12031,19.824669255735955,69180499999|72039999999|720946326|72206013889|72206593837|7220663853|72206763823|72206793832|72206799999|72206853860|72206899999|72221292814|72221299999|74782053860|749048415|74904899999|99415099999|99441099999|99734799999|99735899999|99780599999|9999993853|99999913889|99999953894|99999963890|99999993832|99999993837|A0002363890,722065-93837,6.795720907261672,Duval County
CT,9001,27.002205357289796,720545169|72054599999|72502699999|72502754788|72502799999|72502964707|72502999999|72504094702|72504514758|72504599999|72504899999|72508654734|72508699999|72508714752|72508799999|72508999999|99446099999|99489099999|99490099999|99491099999|99492099999|99494099999|99495099999|99496099999|99497099999|99718599999|99718699999|99728099999|99728499999|99729099999|99743999999|99999914752|99999914758|99999994702|99999994772,725086-99999,8.470203715803283,Fairfield County
TN,47157,18.42157719481399,72016899999|72017199999|72328493839|72328499999|72334013893|72334593839|99999913893|99999993839,723340-13893,10.2596589185302,Shelby County
NJ,34003,25.53809320849461,720581178|72058199999|72224754785|72224799999|72407754779|72407799999|72409454743|72409499999|72409754738|72409799999|72409999999|72410499999|72502014734|72502594741|72502599999|72502699999|74000154793|74000199999|74910999999|99718699999|99727199999|99728099999|99728999999|99729099999|99743999999|99774399999|999999178|99999914734|99999994741,725025-94741,7.013910880162199,Bergen County
GA,13135,28.47384823912249,72089799999|722109355|72210999999|72215653873|72215699999|72218553838|72218599999|72219013874|7221953888|72219599999|72219653863|72219699999|72227013864|72227099999|72227399999|72311013873|74780863803|74780899999|7478093832|74780999999|74781263813|74781299999|749483394|74948399999|99999913864|99999913873|99999913874|99999963850|99999993830|A0001163848,747808-63803,3.7013400374359673,Gwinnett County
IL,17043,25.510763826309745,7201374867|72013799999|7220754871|72207599999|7221264879|72212699999|72241799999|72241899999|72530094846|72530594892|72530599999|72530614855|72530699999|72530799999|72533999999|72534014819|72534499999|72534514834|72534599999|72534694866|72534699999|72534714880|72534799999|7253484831|72534899999|74460099999|74465099999|7446554808|74465599999|7446654838|74466599999|99725599999|99733899999|99773599999|99849799999|99849999999|99999914810|99999914819|99999914834|99999914855|99999954811|99999994846|99999994866,725305-94892,9.055949021149896,DuPage County
NY,36029,30.377401951771397,7252354720|72523599999|72528014733|725283465|72528399999|72528599999|7252874724|72528799999|72528899999|74498914747|74498999999|99425099999|99551099999|99725499999|99798999999|99816899999|99823599999|99826699999|99999914733|99999914747,725285-99999,10.979618982890539,Erie County
MD,24033,29.09784548957112,72033493764|72033499999|720384124|72038499999|72038999999|72208113730|72208199999|72215813752|72215899999|722218356|72221899999|722244358|72224499999|72404013721|7240433756|72404399999|72404799999|72404899999|72406093721|72406593733|72406599999|72406793744|72406799999|74594013705|74594099999|74594493784|74594599999|99440099999|99729699999|99729799999|99730299999|99730999999|99731299999|99731499999|99778199999|99799499999|99840999999|99999913710|99999913721|99999913725|99999913730|99999913751|99999913752|99999913777|99999993721,745940-99999,0.8743736282385737,Prince George's County
CA,6029,31.886235640936047,7229533183|72295399999|72383023187|72384023155|74917099999|749171479|74917199999|9999993129|99999923155|99999923187|99999993108,999999-23155,19.340656562391928,Kern County
CT,9003,35.17088143485571,720545169|72054599999|72502754788|72502799999|72502964707|72502999999|72504094702|72504514758|72504599999|72504614707|72504699999|72504799999|72504899999|72508014740|72508454767|72508499999|72508654734|72508699999|72508714752|72508799999|72508999999|99475099999|99489099999|99718599999|99728399999|99728499999|99729099999|99999914707|99999914740|99999914752|99999914758|99999994702|99999994772,999999-14752,6.443005217540159,Hartford County
